name,group,usage
کلرتالیدون,ضد فشار خون ادرار آور,ادم ناشی از نارسایی قلبی اختلالات کبدی و فشار خون بالا و ورم قاعدگی
فورسماید,ضد فشار خون,کنترل فشار خون نارسایی مزمن کلیوی سیروز کبدی نارسایی احتقانی قلب
مانیتول,ضد گلوکوم آب سیاه چشم,در ایجاد ادرار بیشتر دیورزاسموتیک در نارسایی حاد کلیه برای کاهش فشار داخل جمجمه میوگلوبینوری ناشی از سوختگی برق گرفتگی در اثر برق گرفتگی ناشی از سلولی خونی از طریق ادرار دفع می شوند .
آمییوراید,ضد فشار خون,فشار خون هیپرتانسیون و ادم تورم عمومی ناشی از نارسایی قلبی
اتاکرینیک اسید,ضد فشار خون ضد هیپرکلسمی,ادم ناشی از نارسایی قلبی اختلال کبدی و بیماری کلیوی
اترتینت,ضد پسوریازیس,پسوریازیس مقاوم
ایزوترتینوئین,ضد آکنه,آکنه شدید و مقاوم به درمان التهاب فولیکولی مو عفونت غدد چربی پوست
روغن کاد,ضد عفونی کننده و ضد خارش پوست,در درمان موضعی اگزما خارش و شوره سر استفاده می شود .
روغن کبد ماهی,ویتامینی ضروری و محلول در چربی .,نوع موضعی در درمان ضایعات پوستی و زخمی بستر استفاده می شود . این روغن حاوی ویتامینی و و اسید چرب ضروری می باشد .
ریفامپین,ضد سل - ضد جذام,عفونتی سلی جذام عفونت استخوانی تب مالت بروسلوزیس مننژیت عفونت پرده مغز
شارکول فعال,ضد مسمومیت ضد التهاب,مسمومیتی دستگاه گوارش نفخ پوشش زخم بد بو درمان خارش در نارسایی کلیه
استیل سالیسیلیک اسید,ضد درد ضد تب ضد التهاب مانع تجمع پلاکتی خونی,آرتریت التهاب مفاصل درد خفیف تب حمله مغزی حمله قلبی
منتول سالیسیلات,ضد درد موضعی,تسکین دردی موضعی و در عضلات و اسکلت
آسپیرین,ضد درد ضد تب ضد التهاب مانع تجمع پلاکتی خونی,درد آرتریت دردهای مفصلی ضایعات آمبولی لختهی خون در عروق و حملات با نارسایی عروق مغزی برای بیماران قلبی به منظور پیشگیری از لختهی پلاکتی
نیکلوزامید,ضد انگل کرم,در درمان کرمی نواری مثل تینیا ساژیناتایاسولیوم
پروپوفول,داروی کمک بیهوشی,برای القا بیهوشی عمومیسریع الثر و کوتاه الثر استفراغ
سفالکسین,آنتی بیوتیک,عفونتی تنفسی عفونتی گوش میانی عفونتی پوستی استخوان و مفاصل و عفونت ادراری - تناسلی
سفالوتین,آنتی بیوتیک,مسمومیت عفونتی ادراری عفونت ریوی پنومونی عفونت استخوانیاستئومیلیت
سفازولین,آنتی بیوتیک,عفونتی تنفسی دستگاه ادراری پوستی مجاری صفراوی عفونت خون سپتی سمی عفونت دریچه قلبی و پیشگیری قبل از عمل
سفرادین,آنتی بیوتیک,عفونت ریه گلودرد چرکی عفونت گوش میانی عفونت پوستی پیشگیری از عفونت در جراحی
سفتی زوکسیم,آنتی بیوتیک,عفونتی ریوی ادراری سوزاک عفونت داخل شکمی عفونت پوستی استخوان و مفاصل
سفوتاکسیم,آنتی بیوتیک,عفونت ریه عفونت ادرار عفونت پوستی پریتونیت عفونت مغزی سزارین
سفتازیدیم,آنتی بیوتیک,عفونت ریوی عفونت ادراری - پوستی عفونت استخوان آبسهی داخل شکم عفونت پرده مغز مننژیت
سفتریاکسون,آنتی بیوتیک,عفونتی تنفسی عفونت پوست و استخوان و کلیه
سفیکسیم,آنتی بیوتیک,درمان عفونت ادراری التهاب و عفونت گوش میانی عفونت حلق برونشیت حاد و سوزناک
دیپی وفرین,ضد آب سیاه چشم,آب سیاه چشم گلوکوم زاویه باز
اپی نفرین,بازکننده ریه بالا برنده فشار خون,ایست قلبی - دراحیای قلب و ریه داروی بسیار حیاتی است و در مورد شوک ناشی از حساسیت دارویی آنافیلاکسی یا آسم و حملات ریوی در کودکان و جوانان بسیار مفید است .
دوپامین,تنگ کننده عروق,محرک قلبی است و در درمان کاهش یا افت فشار خون و شوک قلبی و نارسایی قلبی و نارسایی کلیه مفید است .
افدرین,ضد آسم,باز کردن مجاری هوایی درمان احتقان بینی درمان علامتی آسم
متاپروترونول,برونکودیلاتور,بیماریی تنفسی مثل آسم و تنگی نفس مزمن ریوی برونشیت آمفیزم برونشکتازی و درمان بلوک قلبی
کولفوسریل,ضد نارسایی ریه نوزادان,درمان و پیشگیری از خطر ناتوانی تنفسی در نوزادان به ویژه نارس و کمبود مادرزادی سورفاکتانت داخلی در ریه
سولفات روی,مواد معدنی- مکمل غذایی,درمان کمبود روی درمان کمکی بیماری کمبود مس
سولفات منیزیم,ضد تشنج به ویژه در حاملگی,در مسمومیت حاملگی کلامپسی و پره اکلامپسی در خانم حامله و کسانی که از راه دهان تغذیه نمی کنند و مجبوریم دارو و مواد ضروری را از راه وریدی محیطی به آنها برسانیم .
سولفاستامید چشمی,آنتی بیوتیک,عفونت چشمی کراتیت چشمی
سولفاسالازین,ضد التهاب روده ضد زخم روده بزرگ,زخم فعال روده بزرگ رماتیسم مفصلی سندرم بهجت اسکلرودرمی بیماری عروقی عمومی واسکولیت
داپسون,ضد جذام,آلودگی به توکسوپلاسموز جذام درماتیت ایدز آلودگی قارچی
سیلورسولفادیازین,ضد باکتری و عفونت,سوختگی و درمان عفونتی پوستی
کوتریمکسازول,ضد باکتری آنتی بیوتیک,عفونتی مجاری ادراری اسهالی عفونی عفونت گوش میانی عفونت پروستات حاد یا مزمن عفونت شدید ریوی
دورزولامید,ضد گلوکوم,برای کاهش فشار داخل چشم و درمان گلوکوم زاویه باز
مافناید,ضد میکروب ضد قارچ,عفونت زخم سوختگی پیشگیری و درمان عفونت
کلرپروپامید,ضد دیابت قندی,بیماری قندتیپ 2 یا دیابت بزرگسالان دیابت بی مزه
دی متیل سولفوکساید,ضد التهاب موضعی,التهاب مثانه
اتوسوکسیماید,ضد سرع ضد تشنج,انواع صرع پتسمال آبسانس و صرع میوکلونیک
ادتیت کلسیم دی سدیم,ضد مسمومیت با فلزات,مسمومیت با فلزات سنگین مثل سرب کادمیم کرومیک کبالت مس روی منیزیوم نیکل تنگستن
پنی سیلامین,ضد مسمومیت با فلزات سنگین,در درمان مسمومیت با سرب مس جیوه
سیپروتروناستات,هورمون ضد آندروژن,درمان افزایش شدید میل جنسی برای کاهش مسل جنسی و در درمان سرطان پروستات و پرمویی و آکنه
لوساتان,ضد فشار خون,فشار خون
آمی تریپ تیلین,ضد افسردگیاعصاب و روان,افسردگی یا پایین بودن خلق و به صورت فرعی در عوارض افسردگی مثل بی اشتهایی یا پر استهایی و دردیی با ریشه عصبی
نورتریپتیلین,ضد افسردگی,ضد افسردگی ضد ترس روانیپانیک دردهای عصبی شب ادراری سردرد میگرنی
ایمی پرامین,ضد افسردگی,افسردگی شب ادراری در اطفال دردی مزمن پرخوری بولیمای اضطرابی و آسیبی روانی پس از ضربه مثل حوادث عمومی : جنگ زلزله سوگ عزیزان
تولمتین,ضد درد ضد رماتیسم,در درمان آرتریت حاد و مزمن استئو آرتریت رماتیسم مفصلی
کاپسیکوم,ضد خارش,دردی عضلانی و مفصلی درد استخوانی و دردهای با ریشه اعصاب محیطی
انوکساپرین,آنتی ترومبوز,پیشگیری از ترومبوزلخته در ورید و آمبولی ریه درمان ترومبوز ورید عمقی آنژین قلبی ناپایدار
بوراکس,ضد باکتری,این دارو ضد باکتری و نرم کننده می باشد و در کرم و داروهای ساختگی پوست استفاده می شود .
دکس کلرفنرآمین,ضد آلرژی,درمان علامتی وضعیت آلرژی کهیر حساسیت چشمی بیماری خارش دار پوستی
دی سیکلومین,ضد اسپاسم دستگاه گوارش,دردهای دستگاه گوارش درمان کمکی در اسهال روده تحریک پذیر درد شکمی کولیک در شیر خواران
آنتی توکسین بوتولیسم,ایمونوسرم بوتولیسم سم نوع,پیشگیری و درمان مسمویت با سم بوتولیسمسم ناشی از میکروب در عسل یا کنسرو
سلنیوم سولفاید,ضد شوره سر,حساسیت موضعی سر به همراه شوره سر و شایعات شبه قارچی تنیا و رسیکالر
سیتارابین,آنتی متابولیک,ضد سرطانی خون :
میترامایسین,آنتی بیوتیک ضد هیپرکلسمی,در درمان بالا بودن کلسیم خون هیپر کلسیوری شدید دفع ادرار کلسیم سرطان بیضه
کلوبوتینول,ضد سرفه,در درمان سرفهی مقاوم یا به علت نا مشخص
پماد سوختگی,ضد التهاب,درمان سوختگی و پیشگیری و درمان التهاب و تحریک پوستی شیرخواران و زخم سطحی
کلرهگزیدین گلوکونات,دهان شویه,عفونتی دهان زخمی دهان و لثه
کاربامید پراکساید,ضد التهاب ضد عفونت,تسکین التهاب تحریکات و ضایعات دهان زبان پوست
مینوکسیدیل,گشاد کننده عروق,فشار خون بالا اصلی ترین ضروریات درمان است . هر چند این دارو داروی اصلی فشار خون معمولی نیست بلکه در موارد فشار خون مقاوم کارایی دارد و در ترکیب با داورها دیگر استفاده می شود .
نیتروپروساید,گشاد کننده عروق,حملات حاد فشار خون نارسایی قلبی سکته قلبی در حین جراحی
آمفوتریسین - بی,ضد قارچ و عفونت,عونتی قارچی سیستمیک و مخاطره آمیز ناشی از ارگانیسمی حساس هیستوپلاسموز آسپرژیلوس
لوراتادین,ضد آسم,درمان علامتی رینیت آلرژیک و حساسیتی فصلی و کهیر
دایمر کاپرول,ضد مسمومیت فلزات سنگین,این دارو به عنوان شلاتور یا دفع کننده و متصل شونده به بعضی از فلزات سنگین کاربرد داردو در مسمومیت با آرسنیک سرب طلا و جیوه کاربرد دارد .
گلوتارآلدئید,ضد عفونی کننده,برای ضد عفونی کردن وسایل دندانپزشکی تجهیزات لاستیکی اتاق عمل و وسایل آرتروسکوپی
بوسرلین,هورمونی محرک,آمادگی برای تحریک تخمک گذاری برای لقاح خارج رحمی سرطان پروستات التهاب رحمی اندومتریوز درد قاعدگی
کلستیر آمین,ضد چربی خون,افزایش کلسترول خون خارش ناشی از انسداد صفراوی سندرم روده تحریک پذیر و کاهش بروز سکته قلبی
فاکتور هفت,ضد خونریزی,در درمان خونریزی هموفیلی و این فاکتور وابسته به ویتامین است
فاکتور نه,ضد هموفیلی,ضد خونریزی جلوگیری از خونریزی ناشی از هموفیلی یا بیماری کریسمس قبل از اعمال جراحی یا کنترل خونریزی در حین و بعد از عمل پیشگیری از کنترل خونریزی در هموفیلی
سیپروفلوکساسین چشمی,آنتی بیوتیک,عفونت میکروبی ملتحمه چشم زخم عفونی قرینیه عفونت گوش خارجی و میانی
سیپروفلوکساسین,آنتی بیوتیک,عفونتی ادراری عفونت ریوی پوستی والتهابی مجاری ادراری و استخوانی
افلوکساسین,آنتی بیوتیک,این دارو شبیه سیپروفلوکساسین است و در درمان عفونتی ریوی مثل برونشیت پنومونی عفونت ریه عفونت پوست استخوان و پروستات استفاده میشود .
کتامین,بیهوشی,دارو در بیهوشی بدون شلی عضلات با داروی دیگر و یا بدون داروی دیگر به کار می رود .
مورفین,مخدر ضد درد,در دردهای خفیف تا متوسط القای بیهوشی ادم حاد ریه
فلوفنازین,ضد سایکوز حالات شدید روانی,اختلالات روانی اضطراب شدید
تری فلوئوپرازین,ضد استفراغ ضد سایکوز,در درمان اختلالات روانی اضطراب بیماری اسکیزوفرنی
کلرپرومازین,ضد سایکوز آرامپخش,اختلالات شدید روانی سایکوز یاحملات حاد مانیا و به عنوان آرامبخش رفع سکسکه مقاوم بی اشتهایی عصبی میگرن و فشار خون حاملگی درمان وابستگی به مخدر و در نوزادان دیستونی گردنی
تیوریدازین,ضد اختلالات روانی,اختلالات روانیسایکوز و اختلالات رفتاری کودکان بی قراری و رفتار خشونت زا و تهاجمی
پرومتازین,آرام بخشی ضد حساسیت,حساسیت و خارش پوستی بی خوابی تهوع استفراغ
پتیدین,مخدر,درد متوسط و شدید و قبل از عمل و کمک بیهوشی
لاموتری ژین,ضد تشنج,تشنج
کلوفیبرات,پایین آورنده چربی خون,ضد افزایش چربی خون تری گلیسیرید بالا دیابت بی مزه بیماری قلبی گزانتوم توبرسوم
جیم فیبروزیل,ضد چربی خون,در افزایش چربی خون کلسترول خون وپیشگیری از بیماری ایسکمیک قلبی
انفوران,گاز,درهنگام بیهوشی دز اتاق عمل و بی حسی سرپایی
بفنیوم هیدروکسی نفتوآت,آگونیست گیرنده کولینرژیک,آلودگی به کرم آسکاریس و کرم قلابدار نکاتور آمریکانوس
آتروپین چشمی,گشاد کننده مردمک چشم,ضایعات چشمی مثل چسبندگی و التهاب در کپسول عنبیه و برای درمان آب سیاه چشم و برای گشاد کردن مردمک
آتروپین سولفات,ضد برادیکاری و آریتمی و ضد مسمومیت ضد مواد سمی ارگانو فسفره حشره کش,کم کاری قلبی برادیکاری و بلوک قلبی و مهار رفلکس واگ تحریک ناحیه گلو که باعث استفراغ می شود
آمینوکاپروئیک اسید,مهار فیبرینولیزیس,خونریزی شدید و حاد ناشی از هیپر فیبرینولیزیس افزایش آن کاهش پلاکت خون و درمان مسمومیت با استرپتوکیناز یا اوروکیناز
فلومازنیل,ضد بنزودیازپین,درمان مسمومیت با بنزودیازپین ضد دیازپام و در آنسفالوپاتی کبدی مفید است .
لوودوپا,ضد پارکینسون,پارکینسون
بتاهیستین,ضد سرگیجه,حملات سر گیجه بیماری منییر که با حملات سرگیجه توام است .
آمیودارون,ضد آریتمی قلب یا دهلیز قلبی,بی نظمی ریتم قلبی آریتمی در بطن یا فوق بطن فیبریلاسیون یا فلوتر دهلیزی
فلورسئین,داروهای تشخیص چشم پزشکی,تشخیص آب سطحی در قرینیه اجسام خارجی در قرینیه و ملتحمه و عوارض ناشی از آلودگی ویروس تب خال اندازه گیری تخلیه و وضعیت اشکی چشم برای جاگذاری لنزی سخت تماس
هیدرالازین,ضد فشار خون,فشار خون بالا نارسایی احتقانی قلب نارسایی شدید دریچه آئورت قلب
متیل پردنیزولون,ضد التهاب,به عنوان داروی ضد التهاب در رماتیسم نفریت لوپسی و حساسیتی شدید
فلئوسینولون,کورتون ضد التهاب موضعی,التهاب خفیف پوستی ضایعات خارش دار پوست
بتامتازون,ضد التهاب مهار ایمنی,التهاب شدید و مهار سیستم ایمنی نارسایی کورتکس آدرنال
وانکومایسین,آنتی بیوتیک,عفونتی متوسط بی هوازی گازگانگرن عفونت استخوانی عفونت پوستی و روده ای عفونت ریوی و پرده مغزی
دوکسو روبیسین,آنتی بیوتیک ضد سرطان,سرطانی خونی نووربلاستوم سارکوم استخوان سرطانی پستان تخمدان مثانه تیروئید و سرطان معده
دیگوکسین,ضد آریتمی قلبی نارسایی قلبی,نارسایی قلبی بی نظمیی ریتم قلبی نوع سوپراونتریکولار
لوپرورلین,هورمونی جنسی,در درمان سرطانی پروستات
گونادوتروپین جفتی انسانی,محرک تخمک گذاری زنان محرک اسپرماتوژنز مردان,در موارد ناباروری نازایی زنان در مردان دچار کاهش هورمون درمان بیضهی نزول نکرده
باریم سولفات باریم,ماده تشخیسی در ضایعات گوارشی,رادوگرافی معده و روده بزرگ و کوچک و مری
اریترومایسین,آنتی بیوتیک,عفونت دستگاه تنفس گلو گوش عفونت ریوی سیاه سرفه عفونتی لگنی اورتریت غیر گونوکوکی تب رماتیسمی
کلاریترومایسین,آنتی بیوتیک,التهاب و عفونت و گلو و لوزه فارنژیت سینوزیت و عفونت ریه ناشی از مایکوباکتریوم آویوم و میکروب هلیکوباکتر در معده
تئوفیلین,ضد آسم باز کننده ریه,حمله حاد آسم آسم مزمن برونشیت
دیفنوکسیلات,ضد اسهال,اسهالی مزمن درمان اسهال ناشی از ترک مواد مخدر
آتراکوریوم,شل کننده عضلات مخطط استخوانی,در بیهوشی تسهیل در لوله گذاریشل کردن عضلات مخططو کمک در بیهوشی عمومی
آتنولول,ضد درد قلبی,فشار خون هیپرتانسیون و دردهای قفسه سینه با منشاء قلبیانژین
بنزوکائین,موضعی,تسکین دردهای موضعی آفتاب سوختگی خفیف درد ناحیه هموروئید
کاربامازپین,ضد تشنج و دردهای عصبی,تشنج جنرالیزه و دردهای عصبی سه شاخه تریژمینال
استامینوفن,ضد درد غیر مخدر ضد تب,دردی خفیف تب
دیازوکساید,ضد فشار خون,فضار خون بالای بیمار و فشار خون بعد از عمل جراحی
کلرامفنیکل چشمی,آنتی بیوتیک,عفونتی باکتریال سطح چشم التهاب قرینیه التهاب و عفونت ملتحمه چشم
کدئین فسفات,ضد درد,درد و گاهی سرفهی بدون خلط تحریکی
مپروبامات,ضد اضطراب,اضطراب و علائم بی قراری
باکلوفن,شل کننده عضلات اسکلتی مخطط,اسپاسم عضلات در بیماریی مولتیپل اسکلروزیس و ضایعات نخاعی
فن فلورامین,ضد اشتها,به عنوان ضد اشتها و مبارزه با چاقی
لیدوکائین هیدروکلراید,بی حس کننده موضعی,بی حس کننده منطقه ای بلوک اعصاب محیطی و بلوک عصب سمپاتیک در بی حسیی نخاعیاسپانیال و ترکیبات مخدر و آریتمی قلبی .
بوپی واکائین,بی حس کننده نخاعی و اعصاب محیطی,بی حسی موضعی - نخاعی - بلوک عصبی - جراحی چشم بی حسی برای زایمان طبیعی و سزارین
مفنامیک اسید,ضد درد ضد التهاب,دردی خفیف درد دندان ضد تب
اسید بنزوئیک,ضد قارچ,ضد قارچ و عفونت میکروبی
دیزوپیرامید,ضد آریتمی قلبی,آریتمی قلبی با منشا فوق بطنی فلوتر و فیبریلاسیون دهلیزی
پروپیل تیواوراسیل,ضد پرکاری تیروئید,درمان پرکاری تیروئید تیروتوکسیکوز یا گواتر سمی
فاکتور ضد هموفیلی,ضد هموفیلی فاکتور هشت,کمبود فاکتور هشت
آلبومین انسانی,افزایش دهنده حجم پلاسما,شوک سوختگی کاهش پروتئین افزایش بیلی روبین
فیبرینوژن,عامل انعقاد خون,برای کنترل خونریزی در خونریزی ناشی از یا جدا شدن زودرس جفت در حاملگی و پس از جراحی قلب و ریه به کار می رود .
بیزاکودیل,ملین و محرک دستگاه گوارش اسهال آور,یبوست حاد و گذرا یا آماده سازی بیمار برای اقدامات تشخیصی رادیوگرافی و کولونسکوپی آندسکوپی تشخیصی
کلرامفنیکل,آنتی بیوتیک,عفونتی شدید پرده مغزی مننژیت عفونت تیفوئید آبسهی مغزی گازگانگرن
گلایبن کلامید,ضد دیابت,در درمان دیابت قندی تبپ یا بزرگ سالی
فنتانیل,ضد درد و کمک بیهوشی,قبل از بیهوشی
آمینوفیلین,یاز کننده ریه برونش ضد آسم,آسم تنگی راههای هوایی نارسایی احتقانی قلب و توقف تنفسی آپنه نوزادان
تنتوربنزوئین,درمان عفونتی ویروسی,زگیل کراتوزها پاپیلوم لارنکس کراتوزهای همراه سبوره یا ناشی از رادیوتراپی اشعه 
وارفارین,ضد انعقاد,پیشگیری از لخته شدن دارو در وریدی عمقی ترومبوز ورید عمقی بعد از انفارکتوس میکارد سکته قلبی حملات گذرای مغزی
سوربیتول,ضد یبوست,درمان یبوست
هیدروکینون,ضد کک و مک,برای درمان کک و مک و لک موضعی و کلواسمای حاملگی ملاسما و لکهی تیره و قهوه ای ناشی از نور آفتاب در سوختگی تغییر رنگ پوست صورت
لوواستاتین,ضد چربی,درمان هیپرلپیدمی افزایش چربی خون
آتور واستاتین,ضد چربی خون کاهش و کلسترول کامل,درمان چربی خون کاهش کلسترول وتریگلسیرید نوع اولیه و فامیلی
آکاربوز,ضد دیابت بیماری قند,درمان کمکی در دیابت می باشد
فلوواستاتین,ضد چربی,بالا بودن چربی خون هیپرکلسترولمی
آپروتینین,هموستازضد خونریزی,خونریزی ناشی از فیبرینولیز و التهاب پانکراس
انالاپریل,ضد فشار خون,درمان فشار خون خفیف تا شدید نارسایی احتقانی قلب و اختلال عملکرد کلیوی
لیزینوپریل,ضد فشار خون گشاد کننده عروق,فشار خون بالا گشاد کننده عروق در نارسایی احتقانی قلب انفارکتوس حاد میوکارد سکته قلبی
آلو پورینول,ضد نقرس,نقرس که یک نوع آرتریت مرتبط با افزایش اسیداوریک است و درمان عوارض کلیوی نقرس سنگی کلیوی اگزالات کلسیم
استازولامید,ضد گلوکوم ضد تشنج ضد ادم,کلوکوم آب سیاه چشم با زاویه باز درمان نارسایی قلبی و ادم آن بیماری حاد ارتفاع تشنج میکلونیک جلوگیری از سنگ سازی کلیوی
آلندورنت,ضد پوکی استخوان,درمان پوکی استخوان استئوپورز در سن یائسگی بیماری پاژه استخوانی بیماری شبیه دوره سالمندی استخوان دچار تغییرات در میزان مواد معدنی می شوند .
امپرازول,ضد ترشح اسید معده,در درمان زخم معده یا افزایش ترشح اسید معده ترش کردن زخم روده
کاپتوپریل,کنترل فشار خون و گشاد کننده عروق,فشار خون نارسایی قلب اختلال عملکرد بطن چپ قلب ضایعات کلیوی دیابت قندی
فلوکستین,ضد افسردگی ضد وسواس,در افسردگی پر خوری عصبی اختلالات خلقی قبل از قاعدگی و حملات ترس
رانیتیدین,ضد زخم معده,زخمی معده و دوازدهه برگشت مواد اسید معده به مری زخم مری
برتیلیوم توسیلات,درمان آریتمی قلب,بی نظمیی ریتم قلبی به ویژه نوع بطنی تاکیکاردی بطنی فیبریلاسیون بطنی در احیاء قلب و ریه نوع پیشرفته
دی هیدروارگوتامین,تنگ کننده عروق محیطی ضد درد,سردردی حمله ای میگرنی سردرد خوشه ای و سردردی مزمن
یوهیمبین,ضد ناتوانی جنسی مردان,درمان ناتوانی جنسی ناشی از اختلال نعوظ در مردان البته هنوز که سازمان مجوز دهنده دارو و غذا در آمریکا است مجوز مصرف آن را نداده است .
اسمولول,ضد آریتمی قلب,درمان آریتمی بطنیدر تاکیکاردی بالای بطن
تیمولول چشمی,ضد آب سیاه چشم,برای کاهش فشار داخل کره چشم
پروپرانولول,ضد فشار خون ضد میگرن,فشار خون بی نظمی ریتم قلبی درمان درد قلبی پیشگیری سردرد عروقی
بتاکسلول,ضد آب سیاه گلوکوم,افزایش فشار داخلی کره چشم و فشار بالای داخل چشمی
ایزو کربوکسازید,ضد افسردگی,افسردگی در کودکان بیش فعال بی توجه و بیماری وسواس و اختلالات پانیک دردی مزمن و میگرن
یدید اکوتیوفات,ضد گلوکومآب سیاه چشم,گلوکوم زاویه باز مزمن یا گلوکوم ناشی از عمل جراحی کاتاراکت آب مروارید اقدامات تشخیصی چشم پزشکی تشخیص ازوتروپی تطابقی
فاموتیدین,ضد زخم معده,در زخم معده و روده جلوگیری از عود زخم و جلوگیری از برگشت مواد غذایی یا اسید از معده به مری
برینزولامید چشمی,ضد آب سیاه چشم,کاهش فشار کره چشم
ادروفونیوم,ضد مسمومیت داروهای بلوک عصبی غیر دپلاریزان,برای تشخیص بیماری میاستنی گراویس و بررسی نتایج درمانی در میانستنی کاربرد دارد .
فلوراید,پیشگیری از پوسیدگی دندان,پیشگیری از پوسیدگی دندان به ویژه در آّ شامیدنی مناطقی که فلوراید آن کمتر از 0.7 باشد . در درمان پوکی استخوان هم کاربرد دارد .
مولتی ویتامین,مکمل غذایی,این دارو حاوی ویتامینی 12612 و نیکوتینیک اسید ویتامین کلسیم و بیوتین است .
هپارین سدیم,ضد انعقاد,پروفیلاکسی پیشگیری و درمان لختهی وریدی عمقی به ویژه در اندامی تحتانی درمان آنژین قلبی ناپایدار و درمان کمکی در انفارکتوس میوکارد تشخیص و درمان انعقاد منتشر داخل عروقی
کلسیم دبسیلات,درمان اختلالات عروق,اختلال عروق و نارسایی عروق ضایعات شبکیه چشم ادم اندام
آلومینیوم هیدرواکساید,آنتی اسید,آنتی اسید کنترل اسید کنترل و کاهش اسیدیتی معده و افزایش فسفات خون در نارسایی کلیه
بوتولینومتوکسین - آ,شل کننده عضلانی,استرابیسم چشم بلفارو اسپاسم کمر درد گرفتگی اسپاسم عضلات ضایعات فلج مغزی و فلج اطفال
آدنوزین,ضد آریتمی داروی کمک تشخیصی,حملات تاکیکاردی قلبی
لامی وودین,ضد ویروس,در درمان عفونت ویروسی علیه هپاتیت و
آسیکلوویر,ضد ویروس,ضایعات تبخال ناشی از ویروس هرپس عفونتی اولیه و عود کنندهی جلدی در پوست و چشم زونا و آبله مرغان
گانسیکلوویر,ضد ویروس,عفونت چشمی با سیتومگال ویروس -در ایدر و پنومونی اسنفالیت نوع خاص با ضعف ایمنی کاربرد دارد .
آمیل نیتریت,ضد مسمومیت با سیانیدها و گشاد کننده عروق,درد قلبی آنژین صدری و درمان مسمویت با سیانیدها
ایزوسورباید منو نیترات,ضد آنژین قلبی,در درمان طولانی مدت آنژین قلبی نارسایی احتقانی قلب
نیتروگلیسیرین,ضد درد قلبی ضد فشار خون,در درمان و پیشگیری از دردی قلبی آنژین قلبی در نارسایی مزمن قلب آنفارکتوس حاد میوکارد اسپاسم منتشر ریه فشار خون حاملگی
ایزوسورباید دی نیترات,ضد درد قلبی,در درمان آنژِین قلبی پیشگیری از دردی قلبی و مهار حملات دردی قلب . درد قلبی نارسایی قلبی بیماریی عروق محیطی و اسپاسم مری
مترونیدازول,ضد باکتری ضد آمیب,عفونتی میکروبی بی هوازی اسهال خونی اندوکاردیت عفونت شکمی
ایفوزامید,ضد سرطان,ضد سرطانی بیضه ریه تخمدان پستان معده و ضایعات بدخیم خونی
نیتروفورازون,آنتی بیوتیک موضعی,عفونتی سطحی پوست سوختگی
نیتروفورانتوئین,آنتی بیوتیک,عفونتی ادراری
فورازولیدون,ضد باکتری ضد اسهال,اسهال ناشی از عوامل باکتریال و پروتوزوئری اسهال ناشی از ژیاردیا اسهال مسافرتی سالمونلوز آلودگی با میکروب سالمونلا
ایزوفلوران,داروی بیهوشی,بیهوشی عمومی یا سرپایی و در تشنجی که به هیچ درمان داروی پاسخ نمیدهد کاربرد دارد .
پروژسترون,استروئید,هورمون درمانی در زمان یائسگی اختلالات هورمونی که باعث قطع یا عدم قاعدگی شوند خونریزی بدون علت رحمی درمان نارسایی جسم زرد تخمدانی
کنتراسپتیوها,پیشگیری از بارداری,پیشگیری از بارداری جلوگیری بارداری پس از مقاربت فوری درمان قاعده نشدنامنوره پرموییهیرسوتیسم درد قاعدگی خونریزی بیش از حد و خونریزی غیر معمول رحمی
کورتیکوتروپین,هورمون هیپوفیز قدامی,تست تشخیصی نارسایی غده آدرنال درمان حمله حاد اسکلروز مولتیپل تشنج میوکلونیک کودکان سرکوب ایمنی و درمان التهاب
تستوسترون,آندروژن ضد ناتوانی جنسی,مشکلات کمبود ناشی از عملکرد غدد جنسی مردان بلوغ دیررس در پسران درمان سرطان پیشرفته پستان در خانم درمان کم خونی
آمینو گلوتتیماید,ضد سرطان ضد غده آدرنال,افزایش هورمون یا پرکاری غده فوق کلیوی در درمان فرعی سرطان پستان و سرطان پروستات در مردان و مهار عمرکرد این غده در بیماری کوشینگ
لیوتیرونین سدیم,هورمون تیروئیدی,کم کاری تیروئیدهپوتیروئید گواتر ساده غیر سمی
استرادیول والرات,استروژن جایگزین,درمان علائم و نشانهی متوسط تا شدید عروقی و هورمونی ناشی از یائسگی یا کمبود استروژن به دلیل برداشتن تخمدان یا هیپوکنادیسم سرطان پروستات
لووتیروکسین,هورمون تیروئید و ضد سرطان,در درمان کم کاری تیروئید کومامیکزودم
فلوتامید,ضد نئوپلاسم,کارسینوم پروستات پر مویی غیر طبیعی هیرسوتیسم
استراموستین,استرادیول و نیتروژن موستارد,ضد سرطان پروستات و سرطانی متاستاتیک که به جاهای مختلف پخش شده اند .
داینسترول,استروژن ساختگی,درمان عوارض یائسگی در دستگاه تناسلی زنان آتروفی واژن
گلوکاگون,ضد هیپوگلیسمی,کاهش شدید قند خون به ویژه ناشی از مصرف انسولین و موارد تشخیصی
فسفسترول,ضد سرطان,درمان سرطان پستان جانشین استروژن
انسولین,ضد دیابت قندی,کنترل دیابت قندی کتواسیدوز دیابتی دیابت ناشی از حاملگی
لاینسترنول,پروژستین,جلوگیری از بار داری و درمان اختلالات عادت ماهانه
تاموکسیفین,ضد استروژن ضد سرطان,سرطان پستان سرطان تخمدان
