name,preprocessed_ALL
Doxylamine,Doxylamine Histamine H1 antagonist pronounced sedative property used allergy antitussive antiemetic hypnotic Doxylamine also administered veterinary application formerly used parkinsonism compound belongs class organic compound known benzylethers aromatic ether general formula ROCR-R alkyl aryl Rbenzene Used alone short-term sleep aid combination drug night-time cold allergy relief drug Also used combination Vitamin B6 pyridoxine prevent morning sickness pregnant woman
Levonorgestrel,Levonorgestrel Levonorgestrel LNG synthetic progestogen similar Progesterone used contraception hormone therapy A181988 T659 Also known Plan-B used single agent emergency contraception hormonal contraceptive released intrauterine device commonly referred IUD device known Jaydess Kyleena Mirena subdermal implant levonorgestrel slowly release hormone long-term period also available L7823 addition us levonorgestrel used component long-term combination contraceptive A181991 L7760 L7778 Globally levonorgestrel commonly used emergency contraceptive initially granted FDA approval first emergency contraceptive containing progesterone showing high level efficacy lack estrogenic adverse effect compared older emergency contraceptive regimen A181976 A181994 L7760 compound belongs class organic compound known estrogen derivative steroid structure containing -hydroxylated estrane Emergency contraception Levonorgestrel single-agent emergency contraceptive form indicated prevention pregnancy confirmed suspected failure contraception method following unprotected intercourse distributed prescription patient counter age L7760 levonorgestrel-only form contraception indicated regular contraception must taken soon possible within hour intercourse A181976 L7760 shown lower efficacy used label within hour T659 Long-term contraception nonemergency contraception addition indication emergency contraception levonorgestrel combined contraceptive contraceptive formulation designed regular use example ethinyl estradiol L7766 used various hormone-releasing intrauterine device long-term contraception ranging duration-- year L7778 L7781 L7787 Product labeling Mirena specifically mention recommended woman least child indicated prevention pregnancy year L7778 L42950 subdermal implant also available prevention pregnancy year L7823 Hormone therapy off-label us Levonorgestrel prescribed combination estradiol hormone therapy menopause manage vasomotor symptom prevent osteoporosis L7805Off-label levonorgestrel may used treat menorrhagia endometrial hyperplasia endometriosis T659
Norepinephrine,Norepinephrine Precursor epinephrine secreted adrenal medulla widespread central autonomic neurotransmitter Norepinephrine principal transmitter postganglionic sympathetic fiber diffuse projection system brain arising locus ceruleus also found plant used pharmacologically sympathomimetic compound belongs class organic compound known catechols compound containing -benzenediol moiety Mainly used treat patient vasodilatory shock state septic shock neurogenic shock shown survival benefit dopamine Also used vasopressor medication patient critical hypotension
Cidofovir,Cidofovir Cidofovir injectable antiviral medication employed treatment cytomegalovirus CMV retinitis patient diagnosed AIDS suppresses CMV replication selective inhibition viral DNA synthesis FDA label manufactured Gilead initially approved FDA since discontinued L6223 compound belongs class organic compound known pyrimidones compound contain pyrimidine ring bear ketone Pyrimidine -membered ring consisting four carbon atom two nitrogen center-- - ring position treatment CMV retinitis patient acquired immunodeficiency syndrome AIDS
Mirtazapine,Mirtazapine Mirtazapine tetracyclic piperazino-azepine antidepressant agent initially approved treatment major depressive disorder MDD Netherlands A177946 drug first manufactured Organon Inc received FDA approval treatment major depressive disorder T595 L6157 effect drug may observed early week beginning therapy A178144 L6160 addition beneficial effect depression mirtazapine reported efficacious off-label management various condition may improve symptom neurological disorder reverse weight loss caused medical condition improve sleep prevent nausea vomiting surgery A177811 compound belongs class organic compound known piperazinoazepines compound containing piperazinoazepine skeleton consists azepine ring fused piperazine drug indicated treatment major depressive disorder associated symptom FDA label Mirtazapine used off-label variety condition including panic disorder generalized anxiety disorder dysthymia tension headache hot flush post-traumatic stress disorder PTSD sleep disorder substance abuse disorder sexual disorder among others A177811 A177946
Meprobamate,Meprobamate carbamate hypnotic sedative muscle relaxant property although therapeutic dos reduction anxiety rather direct effect may responsible muscle relaxation Meprobamate reported anticonvulsant action petit mal seizure grand mal seizure may exacerbated used treatment anxiety disorder also short-term management insomnia largely superseded benzodiazepine Martindale Extra Pharmacopoeia 30th ed p603 Meprobamate controlled substance-U compound belongs class organic compound known carbamate ester compound containing ester carbamic acid general structure R2NCOOR-R H ester carbamic acid management anxiety disorder short-term relief symptom anxiety
Thiethylperazine,Thiethylperazine dopamine antagonist particularly useful treating nausea vomiting associated anesthesia mildly emetic cancer chemotherapy agent radiation therapy toxin piperazine phenothiazine prevent vertigo motion sickness AMA Drug Evaluations Annual p457 compound belongs class organic compound known phenothiazine polycyclic aromatic compound containing phenothiazine moiety linear tricyclic system consists two benzene ring joined para-thiazine ring treatment relief nausea vomiting
Timolol,Timolol Timolol nonselective beta-adrenergic antagonist given eye drop solution reduce intraocular pressure pressure eye L6724 also used tablet form drug treat hypertension L6727 Timolol first approved FDA L6724 drug marketed several manufacturer L6736 effective agent management condition open-angle glaucoma hypertension compound belongs class organic compound known dialkylarylamines aliphatic aromatic amine amino group linked two aliphatic chain one aromatic group Ophthalmic timolol indicated treatment increased intraocular pressure patient ocular hypertension open-angle glaucoma oral form drug used treat high blood pressure L6724 L6727 certain case timolol used prevention migraine headache A179530 L6742
Treprostinil,Treprostinil Treprostinil stable tricyclic analogue prostacyclinA248770 promotes vasodilation pulmonary systemic arterial vascular bed inhibition platelet aggregation L41855 L41860 L41865 reduces symptom patient pulmonary arterial hypertension PAH pulmonary hypertension associated interstitial lung disease L41855 L41860 first agent approved treatment PAH epoprostenol synthetic prostacyclin significantly increase patient quality life However use epoprostenol limited due short half-life-- min instability room temperature A248770 A248775 use stable alternative treprostinil provides patient PAH treatment option Treprostinil approved FDA treatment pulmonary arterial hypertension L41860 available following route administration subcutaneous intravenous inhaled oral first generic form treprostinil became available A248775 compound belongs class organic compound known phenoxyacetic acid derivative compound containing anisole methane group linked acetic acid derivative FDA indicated treprostinil treatment pulmonary arterial hypertensionL41855 L41860 L41865 pulmonary hypertension associated interstitial lung diseaseL41855 improve exercise ability also used treat pulmonary arterial hypertension patient requiring transition epoprostenol L41860 Health Canada label specifies treprostinil indicated long-term treatment pulmonary arterial hypertension NYHA Class III IV patient respond adequately conventional therapy L24244 L24244
Colestipol,Colestipol Bile acid sequestrants like colestipol use since 1970s FDA Label F4555 F4567 L6262 even though agent may well useful reducing elevated cholesterol level decreasing risk atherosclerotic vascular disease due hypercholesterolemia colestipol still generally employed adjunct therapy relatively physical nature pharmacological activity sometimes limit usefulness FDA Label F4555 F4567 L6262 particular colestipols general mechanism action ultimately result decreased absorption enhanced secretion bile acid lipid feces patient take complicated medication regimen experience constipation biliary obstruction etc may good candidate using agent owing physical effect gut FDA Label F4555 F4567 L6262 Alternatively colestipol predominantly elicits activity within gut environment undergoes little absorption metabolism FDA Label F4555 F4567 L6262 resultant lack systemic exposure consequently mean medication generally demonstrates adverse effect inside body FDA Label F4555 F4567 L6262 Colestipol indicated adjunctive therapy diet reduction elevated serum total low-density lipoprotein cholesterol LDL-C patient primary hypercholesterolemia condition feature elevated LDL-C respond adequately dietary change FDA Label L6115 F4555 Therapy lipid-altering agent like colestipol component multiple risk factor intervention individual significantly increased risk atherosclerotic vascular disease due hypercholesterolemia FDA Label L6115 F4555 Treatment begin continue dietary therapy FDA Label L6115 F4555 general minimum six month intensive dietary therapy counseling carried prior initiation drug therapy colestipol FDA Label F4555 Shorter period may considered patient severe elevation LDL-C definite coronary heart disease FDA Label F4555 Although colestipol effective type hypercholesterolemia regional prescribing information note particular medically appropriate patient Fredricksons type II hyperlipoproteinemia L6115 Nevertheless patient combined hypercholesterolemia hypertriglyceridemia although colestipol may helpful reducing elevated cholesterol formally indicated hypertriglyceridemia abnormality greatest concern F4567
Trihexyphenidyl,Trihexyphenidyl Trihexyphenidyl centrally acting muscarinic antagonist used treatment parkinsonism drug-induced extrapyramidal disorder L31773 L31778 discovery published study looking drug antispasmodic activity A229103 Trihexyphenidyl rarely used treatment parkinsonism first line treatment due significant adverse effect L31843 largely replaced drug levodopa L31843 Trihexyphenidyl granted FDA approval May L31768 compound belongs class organic compound known aralkylamines alkylamines alkyl group substituted one carbon atom aromatic hydrocarbyl group Tihexyphenidyl indicated adjunct treatment parkinsonism adjuvant treatment parkinsonism levodopa control extrapyramidal disorder caused central nervous system drug L31773 L31778
Palonosetron,Palonosetron Palonosetron INN trade name Aloxi antagonist -HT3 receptor indicated prevention treatment chemotherapy-induced nausea vomiting CINV effective -HT3 antagonist controlling delayed CINV nausea vomiting appear hour first dose course chemotherapy drug class approved use-U Food Drug Administration recent -HT3 antagonist enter clinical use compound belongs class organic compound known isoquinolones derivative aromatic polycyclic compound containing ketone bearing isoquinoline moiety prevention acute delayed nausea vomiting associated initial repeat course moderately emetogenic cancer chemotherapy well prevention acute nausea vomiting associated highly emetogenic cancer chemotherapy Also used prevention postoperative nausea vomiting hour post operation
Dydrogesterone,Dydrogesterone synthetic progestational hormone androgenic estrogenic property Unlike many progestational compound dydrogesterone produce increase temperature inhibit ovulation compound belongs class organic compound known glucomineralocorticoids progestogins derivative steroid structure based hydroxylated prostane moiety Used treat irregular duration cycle irregular occurrence duration period caused progesterone deficiency Also used prevent natural abortion patient history habitual abortion
Mexiletine,Mexiletine Antiarrhythmic agent pharmacologically similar lidocaine may anticonvulsant property compound belongs class organic compound known phenol ether aromatic compound containing ether group substituted benzene ring treatment ventricular tachycardia symptomatic premature ventricular beat prevention ventricular fibrillation
Dexrazoxane,Dexrazoxane antimitotic agent immunosuppressive property Dexrazoxane -enantiomorph razoxane provides cardioprotection anthracycline toxicity appears inhibit formation toxic iron-anthracycline complex PubChem Food Drug Administration designated dexrazoxane orphan drug use prevention reduction incidence severity anthracycline-induced cardiomyopathy compound belongs class organic compound known alpha amino acid derivative amino acid amino group attached carbon atom immediately adjacent carboxylate group alpha carbon derivative thereof reducing incidence severity cardiomyopathy associated doxorubicin administration woman metastatic breast cancer received cumulative doxorubicin hydrochloride dose mgm2 would benefit continued doxorubicin therapy Also approved treatment extravasation intravenous anthracyclines
Amlodipine,Amlodipine Amlodipine initially approved FDA popular antihypertensive drug belonging group drug called dihydropyridine calcium channel blocker Due selectivity peripheral blood vessel dihydropyridine calcium channel blocker associated lower incidence myocardial depression cardiac conduction abnormality calcium channel blocker A175327 Amlodipine commonly used treatment high blood pressure angina Amlodipine antioxidant property ability enhance production nitric oxide important vasodilator decrease blood pressure A175321 option single daily dosing amlodipine attractive feature drug FDA label compound belongs class organic compound known dihydropyridinecarboxylic acid derivative compound containing dihydropyridine moiety bearing carboxylic acid group Amlodipine may used alone combination antihypertensive antianginal agent treatment following condition FDA label-• Hypertension-• Coronary artery disease-• Chronic stable angina-• Vasospastic angina Prinzmetal-’ Variant angina-• Angiographically documented coronary artery disease patient without heart failure ejection fraction
Tacrine,Tacrine centerally active cholinesterase inhibitor used counter effect muscle relaxant respiratory stimulant treatment Alzheimers disease central nervous system disorder Tacrine discontinued United States market compound belongs class organic compound known acridines organic compound containing acridine moiety linear tricyclic heterocycle consists two benzene ring joined pyridine ring palliative treatment mild moderate dementia Alzheimers type
Oxyphencyclimine,Oxyphencyclimine Oxyphencyclimine anticholinergic drug trade name Daricon used treating peptic ulcer compound belongs class organic compound known hydropyrimidines compound containing hydrogenated pyrimidine ring-e containing le maximum number double bond treatment peptic ulcer disease relief smooth muscle spasm gastrointestinal disorder
Triamterene,Triamterene Triamterene -triamino -- phenylpteridine potassium-sparing diuretic used management hypertension work promoting excretion sodium ion water decreasing potassium excretion distal part nephron kidney working lumenal side A177985 Since act distal nephron small fraction sodium ion reabsorption occurs triamterene reported limited diuretic efficacy T28 Due effect increased serum potassium level triamterene associated risk producing hyperkalemia Triamterene weak antagonist folic acid photosensitizing drug L6163 Triamterene approved Food Drug Administration-U L6163 Currently triamterene used treatment edema associated various condition monotherapy approved use diuretic enhance diuretic potassium-sparing effect L6166 also found combination product hydrochlorothiazide used management hypertension treatment edema patient develop hypokalemia hydrochlorothiazide alone compound belongs class organic compound known pteridines derivative polycyclic aromatic compound containing pteridine moiety consists pyrimidine fused pyrazine ring form pyrimido4 -bpyrazine Triamterene indicated treatment edema associated congestive heart failure cirrhosis liver nephrotic syndrome also steroid-induced edema idiopathic edema edema due secondary hyperaldosteronism L6166 Triamterene combination hydrochlorothiazide indicated managment hypertension treatment edema patient develop hypokalemia following hydrochlorothiazide monotherapy patient require thiazide diuretic development hypokalemia risked L6169 Triamterene allows maintenance potassium balance given combination loop diuretic thiazide T28
Valrubicin,Valrubicin Valrubicin N-trifluoroacetyladriamycin -- valerate chemotherapy drug commonly marketed trade name VALSTAR semisynthetic analog doxorubicin anthracycline drug Used treatment bladder cancer valrubicin administered direct infusion bladder compound belongs class organic compound known anthracyclines polyketides containing tetracenequinone ring structure sugar attached glycosidic linkage treatment cancer bladder
Procyclidine,Procyclidine muscarinic antagonist cross blood-brain barrier used treatment drug-induced extrapyramidal disorder parkinsonism compound belongs class organic compound known aralkylamines alkylamines alkyl group substituted one carbon atom aromatic hydrocarbyl group treatment form Parkinsons Disease well control extrapyramidal reaction induced antipsychotic agent
Phenylephrine,Phenylephrine Phenylephrine alpha- adrenergic receptor agonist used treat hypotension L9416 L9410 dilate pupil L9413 induce local vasoconstriction A187370 action phenylephrine neo-synephrine first described literature 1930s A187376 Phenylephrine granted FDA approval L9413 compound belongs class organic compound known -hydroxy -- unsubstituted benzenoids phenol unsubstituted -position Phenylephrine injection indicated treat hypotension caused shock anesthesia L9416 L9410 ophthalmic formulation indicated dilate pupilsL9413 induce vasoconstriction intranasal formulation used treat congestion topical formulation used treat hemorrhoid A187370 Off-label us include situation require local blood flow restriction treatment priapism A187370
Carbimazole,Carbimazole imidazole antithyroid agent Carbimazole metabolized methimazole responsible antithyroid activity compound belongs class organic compound known carbonylimidazoles substituted imidazole imidazole ring bear carbonyl group treatment hyperthyroidism thyrotoxicosis also used prepare patient thyroidectomy
Digoxin,Digoxin Digoxin one oldest cardiovascular medication used today A178225 common agent used manage atrial fibrillation symptom heart failure A178234 Digoxin classified cardiac glycoside initially approved FDA L9143 drug originates foxglove plant also known Digitalis plantT610 studied William Withering English physician botanist 1780s A178237 A178240 Prior Welsh family historically referred Physicians Myddvai formulated drug plant one first prescribe cardiac glycoside according ancient literature dating early 1250s A178240 compound belongs class organic compound known cardenolide glycoside derivative compound containing carbohydrate glycosidically bound cardenolide moiety Digoxin indicated following condition treatment mild moderate heart failure adult patient L9143 increase myocardial contraction child diagnosed heart failure L9143 maintain control ventricular rate adult patient diagnosed chronic atrial fibrillation L9143 adult heart failure clinically possible digoxin administered conjunction diuretic angiotensin-converting enzyme ACE inhibitor optimum effect L9143
Sulpiride,Sulpiride Sulpiride first appeared published literature A229538 Clinical study show greater effect treating negative symptom schizophrenia rather positive symptom low dos though effect equal higher dos A229683 Sulpiride approved FDA Health Canada EMA though approved individual European country L24679 compound belongs class organic compound known benzenesulfonamides organic compound containing sulfonamide group S-linked benzene ring Sulpiride indicated treatment acute chronic schizophrenia L31933
Profenamine,Profenamine Profenamine medication derived phenothiazine primarily used antidyskinetic treat parkinsonism sold trade name Parsidol United States Parsidan Canada compound belongs class organic compound known phenothiazine polycyclic aromatic compound containing phenothiazine moiety linear tricyclic system consists two benzene ring joined para-thiazine ring use treatment Parkinsons disease also used control severe reaction certain medicine reserpine
Nimodipine,Nimodipine Nimodipine -dihydropyridine calcium channel blocker act primarily vascular smooth muscle cell stabilizing voltage-gated L-type calcium channel inactive conformation inhibiting influx calcium smooth muscle cell nimodipine prevents calcium-dependent smooth muscle contraction subsequent vasoconstriction Compared calcium channel blocking agent nimodipine exhibit greater effect cerebral circulation peripheral circulation Nimodipine used adjunct improve neurologic outcome following subarachnoid hemorrhage ruptured intracranial aneurysm compound belongs class organic compound known dihydropyridinecarboxylic acid derivative compound containing dihydropyridine moiety bearing carboxylic acid group use adjunct improve neurologic outcome following subarachnoid hemorrhage SAH ruptured intracranial berry aneurysm reducing incidence severity ischemic deficit
Beclomethasone dipropionate,Beclomethasone dipropionate Beclomethasone dipropionate second-generationA179842 synthetic corticosteroid diester beclomethasone structurally similar dexamethasone L6871 prodrug active metabolite beclomethasone -monopropionate -BMPA179839 act glucocorticoid receptor mediates therapeutic action Beclomethasone dipropionate pose weak glucocorticoid receptor binding affinity rapidly converted -BMP upon administration A179839 Formulations oral inhalation intranasal topical use available beclomethasone dipropionate Beclomethasone dipropionate became first available pressurized metered-dose inhaler later dry powder inhaler aqueous nasal spray A179839 Due anti-inflammatory antipruritic anti-allergy property beclomethasone dipropionate used various inflammatory condition asthma allergic rhinitis dermatosis reduce symptom inhaled proposed beclomethasone dipropionate remains active locally lung without causing significant side effect associated systemic corticosteroid A180010 Compared earlier corticosteroid dexamethasone prednisolone beclomethasone dipropionate reported le irritating nasal mucosa longer duration action administered intranasally A179848 compound belongs class organic compound known glucomineralocorticoids progestogins derivative steroid structure based hydroxylated prostane moiety Indicated oral inhalation use maintenance treatment asthma prophylactic therapy patient year age older aerosol form beclomethasone diproprionate indicated relief acute bronchospasm L6871 Indicated intranasal use relieve symptom seasonal perennial allergic nonallergic vasomotor rhinitis prevent recurrence nasal polyp following surgical removal L6880 Indicated relief inflammatory pruritic manifestation corticosteroid-responsive dermatosis patient year age older L10782 Corticosteroid-responsive dermatosis include psoriasis contact dermatitis dermatitis venenata atopic dermatitis infantile eczema allergic dermatitis neurodermatitis lichen simplex chronicus lichen planus eczema eczematous dermatitis intertrigo dyshidroses pompholyx seborrheic dermatitis exfoliative dermatitis solar dermatitis stasis dermatitis anogenital senile pruritus L6886
Carisoprodol,Carisoprodol Originally approved FDA FDA label carisoprodol centrally acting muscle relaxant used painful musculoskeletal condition conjunction physical therapy medication A176047 drug available oral tablet combined aspirin fixed-dose combination aspirin codeine FDA label F4060 F4069 January drug classified Schedule IV substance controlled substance act several US state due alarming rate abuse A176062 A176077 despite low potential abuse addition low risk dependence L5074 compound belongs class organic compound known carbamate ester compound containing ester carbamic acid general structure R2NCOOR-R H ester carbamic acid Carisoprodol indicated relief discomfort related acute painful musculoskeletal condition FDA label Important limitation use FDA label-• used acute treatment period two three week-• Adequate evidence effectiveness prolonged use established-• recommended pediatric patient le year age
Progesterone,Progesterone Progesterone hormone occurs naturally female essential endometrial receptivity embryo implantation successful establishment pregnancy low progesterone concentration insufficient response progesterone cause infertility pregnancy loss A175609 Progesterone used various contraceptive preparation prevent ovulation fertilization T481 A175612 well formulation promote support pregnancy Please see Medroxyprogesterone acetate Megestrol acetate Dydrogesterone Hydroxyprogesterone entry information various form progesterone Pharmaceutical progesterone made plant source starting material chemically identical progesterone human ovarian origin FDA label Progesterone available gelatinized capsule form vaginal gel form tablet form vaginal insert form injection form used various purpose Label F3898 F3904 F3901 F3907 compound belongs class organic compound known glucomineralocorticoids progestogins derivative steroid structure based hydroxylated prostane moiety Gelatinized capsule gelatinized capsule indicated use prevention endometrial hyperplasia non-hysterectomized postmenopausal woman receiving conjugated estrogen tablet also indicated use secondary amenorrhea FDA label Vaginal gel Progesterone gel indicated progesterone supplementation replacement part Assisted Reproductive Technology-“ ART-” treatment infertile woman progesterone deficiency lower concentration progesterone gel used treatment secondary amenorrhea use concentration therapeutic response gel F3898 Vaginal insert form indicated support embryo implantation early pregnancy supplementation corpus luteal function part Assisted Reproductive Technology ART treatment program infertile woman F3901 Injection intramuscular drug indicated amenorrhea abnormal uterine bleeding due hormonal imbalance absence organic pathology submucous fibroid uterine cancer F3907 Tablets contraceptive tablet form progesterone contraceptive formulation indicated prevention pregnancy F3904
Phenylpropanolamine,Phenylpropanolamine Phenylpropanolamine sympathomimetic agent act nonselective adrenergic receptor agonist norepinephrine reuptake inhibitor used decongestant appetite suppressant Currently withdrawn market Canada United States due risk hemorrahgic stroke treatment nasal congestion control urinary incontinence priapism obesity
Sorafenib,Sorafenib Sorafenib rINN marketed Nexavar Bayer drug approved treatment advanced renal cell carcinoma primary kidney cancer also received Fast Track designation FDA treatment advanced hepatocellular carcinoma primary liver cancer since performed well Phase III trial Sorafenib small molecular inhibitor Raf kinase PDGF platelet-derived growth factor VEGF receptor kinase-c Kit receptor Stem cell factor growing number drug target pathway originality Sorafenib lay simultaneous targeting RafMekErk pathway compound belongs class organic compound known diarylethers organic compound containing dialkyl ether functional group formula ROR-R R aryl group Sorafenib indicated treatment unresectable hepatocellular carcinoma advanced renal cell carcinoma
Zoledronic acid,Zoledronic acid Zoledronic acid CGP A203120 third generation nitrogen containing bisphosphonate similar ibandronic acid minodronic acid risedronic acid A203111 Zoledronic acid used treat prevent multiple form osteoporosis hypercalcemia malignancy multiple myeloma bone metastasis solid tumor Paget-’ disease bone L13712 L13715 L13721 Zoledronic acid first described literature A203120 Zoledronic acid granted FDA approval August L13712 compound belongs class organic compound known bisphosphonates organic compound containing two phosphonate group linked together carbon atom Zoledronic acid indicated treat hypercalcemia malignancy multiple myeloma bone metastasis solid tumor osteoporosis men postmenopausal woman glucocorticoid induced osteoporosis Pagets disease bone men woman L13712 L13715 L13721 Zoledronic acid also indicated prevention osteoporosis post menopausal woman glucocorticoid induced osteoporosis L13712 L13715 L13721
Griseofulvin,Griseofulvin antifungal antibiotic Griseofulvin may given mouth treatment tinea infection compound belongs class organic compound known benzofuran organic compound containing benzene ring fused furan Furan five-membered aromatic ring four carbon atom one oxygen atom treatment ringworm infection skin hair nail namely tinea corporis tinea pedis tinea cruris tinea barbae cradle cap condition caused iTrichophytoni iMicrosporumi fungi
Nisoldipine,Nisoldipine Nisoldipine -dihydropyridine calcium channel blocker act primarily vascular smooth muscle cell stabilizing voltage-gated L-type calcium channel inactive conformation inhibiting influx calcium smooth muscle cell nisoldipine prevents calcium-dependent smooth muscle contraction subsequent vasoconstriction Nisoldipine may used alone combination agent management hypertension compound belongs class organic compound known dihydropyridinecarboxylic acid derivative compound containing dihydropyridine moiety bearing carboxylic acid group treatment hypertension may used alone combination antihypertensive agent
Eszopiclone,Eszopiclone Eszopiclone marketed Sepracor brand-name Lunesta nonbenzodiazepine hypnotic drug used treat insomnia active stereoisomer zopiclone belonging class drug known cyclopyrrolones A179638 L6850 Cyclopyrrolone drug demonstrate high efficacy low toxicityA179827 offering safer alternative drug used insomnia One major benefit eszopiclone approved FDA long-term treatment insomnia set apart many hypnotic sedative generally approved relief short-term-- week insomnia Eszopiclone initially approved FDA L6769 compound belongs class organic compound known cyclopyrrolones compound belonging family pyridin -- ylpyrrole based chemical pyrrole usually fused benzene pyrimidine dithiin Eszopiclone indicated treatment insomnia L6769
Ceruletide,Ceruletide Caerulein specific decapeptide similar action composition natural gastrointestinal peptide hormone cholecystokinin exerts stimulatory effect gastric biliary pancreatic secretion well certain smooth muscle compound belongs class organic compound known polypeptide peptide containing ten amino acid residue Caerulein used treatment paralytic ileus diagnostic aid pancreatic malfunction
Alprazolam,Alprazolam Alprazolam triazolobenzodiazepine indicated treatment anxiety panic disorder L34783 L34788 mainly metabolized CYP3As contraindicated CYP3A inhibitor like ketoconazole itraconazole L34783 L34788 Benzodiazepine treatment stopped gradually tapering patient dose avoid withdrawal symptom A18125 Alprazolams adverse effect generally related sedation cause A18125 Alprazolam mixed alcohol drug abuse potentiate sedative effect drug may lead coma death A18125 Alprazolam given FDA approval October L6148 compound belongs class organic compound known -triazolo4 -a1 4benzodiazepines aromatic compound containing -benzodiazepine fused sharing nitrogen atom -triazole ring Alprazolam indicated acute treatment generalized anxiety disorder adult L34783 Alprazolam also indicated either standard extended-release formulation treatment panic disorder without agoraphobia adult L34783 L34788 Alprazolam may also prescribed off-label insomnia premenstrual syndrome depression A177973
Dexbrompheniramine,Dexbrompheniramine Dexbrompheniramine maleate antihistamine agent used treatment allergic condition hay fever urticaria compound belongs class organic compound known pheniramine compound containing pheniramine moiety structurally characterized presence -benzylpyridine linked dimethylpropylamine form dimethyl3-phenyl -- pyridin -- ylpropylamine skeleton treatment relief symptom allergy hay fever cold
Gentian violet cation,Gentian violet cation dye mixture violet rosanilinis antibacterial antifungal anthelmintic property compound belongs class organic compound known diphenylmethanes compound containing diphenylmethane moiety consists methane wherein two hydrogen atom replaced two phenyl group treatment bacterial fungal infection inside mouth thrush skin also prevention transmission Chagas disease blood additive
Ardeparin,Ardeparin Ardeparin marketed US trade name Normiflo low molecular weight heparin LMWH anticoagulant used prevention postoperative venous thrombosis Ardeparin derived via peroxide degradation heparin extracted porcine intestinal mucosa molecular weight range average molecular weight Normiflo withdrawn US market March prevention deep vein thrombosis may result pulmonary embolism following knee surgery
Loxapine,Loxapine antipsychotic agent used schizophrenia PubChem compound belongs class organic compound known dibenzoxazepines compound containing dibenzoxazepine moiety consists two benzene connected oxazepine ring management manifestation psychotic disorder schizophrenia
Remoxipride,Remoxipride Remoxipride atypical antipsychotic agent specific dopamine Dsub2sub receptor A215422 gained approval UK withdrawn found associated increased incidence aplastic anemia A215422 A215512 compound belongs class organic compound known dimethoxybenzenes organic aromatic compound containing monocyclic benzene moiety carrying exactly two methoxy group Remoxipride atypical antipsychotic used treatment schizophrenia A215532
Mupirocin,Mupirocin Mupirocin formerly termed pseudomonic acid A178531 novel antibacterial agent unique chemical structure mode action apart antibiotic agent Produced fermentation using organism Pseudomonas fluorescens mupirocin naturally-occurring antibiotic display broad-specturm activity many gram-positive bacteria certain gram-negative bacteria vitro L10580 primarily work inhibiting bacterial protein synthesis Due unique mode action inhibiting activity bacterial isoleucyl-tRNA synthetase mupirocin demonstrate cross-resistance class antimicrobial agent giving therapeutic advantage L10580 available topical formulation due extensive systemic metabolismA178531 used treatment impetigo caused Staphylococcus aureus Streptococcus pyogenes traumatic skin lesion due secondary skin infection caused aureus pyogenes also clinical evidence suggests potential role mupirocin eradicating nasal carriage Staphylococci administered intranasally A178531 A178591 Mupirocin commonly marketed brand name Bactroban compound belongs class organic compound known medium-chain fatty acid fatty acid aliphatic tail contains carbon atom Indicated treatment impetigo secondary skin infection leading traumatic skin lesion due Staphylococcus aureus Streptococcus pyogenes L10580
Carbamoylcholine,Carbamoylcholine Carbamoylcholine also known carbachol muscarinic agonist discovered A226315 Carbamoylcholine initially used treatment migraine A226365 induction diuresis A226370 parasympathetic effect Carbamoylcholine granted FDA approval September L30245 Carbamoylcholine indicated induce miosis surgery reduce intraocular pressure elevation first hour cataract surgery L30245
Rosiglitazone,Rosiglitazone Rosiglitazone anti-diabetic drug thiazolidinedione class drug marketed pharmaceutical company GlaxoSmithKline stand-alone drug Avandia combination metformin Avandamet glimepiride Avandaryl Like thiazolidinediones mechanism action rosiglitazone activation intracellular receptor class peroxisome proliferator-activated receptor PPARs specifically PPARγ Rosiglitazone selective ligand PPARγ PPARα-binding action Apart effect insulin resistance appears anti-inflammatory effect nuclear factor kappa-B NFκB level fall inhibitor IκB level increase patient rosiglitazone Recent research suggested rosiglitazone may also benefit subset patient Alzheimers disease expressing ApoE4 allele subject clinical trial currently underway compound belongs class organic compound known phenol ether aromatic compound containing ether group substituted benzene ring Rosiglitazone indicated adjunct diet exercise improve glycemic control adult type diabetes mellitus
Pramipexole,Pramipexole Pramipexole drug used treat symptom Parkinsons Disease PD non-ergot dopamine agonist drug efficacious treating various Parkinsons symptom tremor rigidity bradykinesia slow movement A176867 first approved FDA L5882 Parkinsons Disease one common neurodegenerative disorder cause high level disability patient A176855 leading increased difficulty performing activity daily living due symptom progress time A176858 prevalence Parkinsons Disease worldwide increased approximately million million A176861 increase may attributed aging population along contributing factor A176861 addition FDA approval Parkinsons Disease pramipexole also approved FDA treatment Restless Legs Syndrome RLS A176873 RLS sleep-related disorder characterized unpleasant sensation lower extremity often accompanied uncontrollable urge move leg A176876 compound belongs class organic compound known aralkylamines alkylamines alkyl group substituted one carbon atom aromatic hydrocarbyl group drug indicated symptomatic treatment Parkinson-’ disease FDA label drug administered monotherapy conjunction levodopa also indicated symptomatic treatment moderate severe primary Restless Legs Syndrome RLS FDA label
Acetohexamide,Acetohexamide sulfonylurea hypoglycemic agent metabolized liver -hydrohexamide Acetohexamide discontinued US market compound belongs class organic compound known alkyl-phenylketones aromatic compound containing ketone substituted one alkyl group phenyl group Used management diabetes mellitus type adult-onset
