id,name_tejary,goroh_daroei,goroh_darmani,name_farsi,shekl_daroei,masraf_hamelegi,mavared_masraf,mizan_masraf,mavared_mane,avarez_janebi,tavajohat,amozesh,description,sharayet_negah,nokte
62,Amoxil,آنتی بیوتیک (پنی سیلین ها),آنتی بیوتیک ها,آموکسي سيلين,"کپسول , قرص  شربت",گروه B,"عفونت دستگاه تنفس , ادراری",روزانه 750 تا 1500 میلی گرم  و کودکان 20 تا 40 میلی گرم به ازای هر کیلیوگرم ( تقسیم شده هر روز 3 بار),"حساسیت به پنی سیلین  ,  بیماران مبتلا به عفونت مونو نوکلئوز و اختلال عملکرد کلیه","تشنج , اسهال , راش پوستی , استفراغ","دارو را میتوان قبل , حین و بعد از غا مصرف کرد ولی لهتر است با معده خالی مصرف شود.",دوره درمان را کامل رعایت کنید.,AMOXICILIN,در دمای 15 تا  30 درجه نگهداری شود.,---
63,AK-Tracin,آنتی بیوتیک پلی پپتید,آنتی بیوتیک,باسيتراسين,پماد چشمی,گروه C,"زخم قرنیه, التهاب و عفونت ملتحمه چشم",روزی یک بار یا بیشتر بر حسب دستور پزشک,حساسیت شدید به دارو ولی در بیمارن با میاستنی گراویس با احتیاط مصرف شود.,"التهاب و تحریک موقتی , سوزش , خارش  و کهیر",تاریخچه حساسیت دارویی را از بیمار بپرسید . آزمایش های کلیوی برای تجویز ضروری است.,"باید بیمار مایعات کافی بنوشد , در هنگام  مالیدن پماد  به داخل پلک تحتانی , از تماس تیوپ پماد با چشم جلوگیری کنید.",BACITRACIN,در دمای معمولی اتاق نگهداری شود . از یخ زدن دارو جلوگیری شود.,---
64,Grisovin,آنتی بیوتیک پنی سیلیوم,ضد قارچ,گريزوفولوين,قرص 125 میلی گرمی,گروه C,"عفونت قارچی , عفونت های درماتوفیتی پوست و مو",500 میلی گرم هر 12 ساعت و مدت درمان مختلف است.,"حساسیت شدید دارویی , نارسایی کبدی , بیمار لوپوس اریتماتو , پورفیری","سردرد , عوارض عمومی مثل خستگی , بی خوابی , تهوع  و استفراغ , درد شکم , اسهال , برفک دهان",تست  های خونی - کلیوی - کبدی انجام شود.,"مصرف غذای چرب , جذب را افزایش می دهد.  از مصرف الکل در طی درمان خودداری کنید.  در صورت کهیر و خارش جلدی به پزشک اطلاع دهید.",GRISEOFULVIN,در دمای اتاق نگهداری شود.,---
65,Dalacin,آنتی بیوتیک موضعی,ضد جوش و آکنه, کليندا مايسين موضعي,پماد و محلول,گروه B,"آکنه  و جوش سر و صورت , عفونت های پوستی و زخم های سطحی عفونی",1 تا 4 بار در روز,حساسیت شدید,"خشکی و پوسته ریزی , خارش , در صورت مصرف گوارشی اسهال",در منابع پزشکی آمده که مصرف موضعی کلیندا باعث اسهال می شود.,در صورت اسهال به پزشک اطلاع دهید.,CLINDA  MYCIN,در دمای اتاق نگهداری شود.,---
66,Beepen,آنتی بیوتیک ها,ضد میکروب ها,پني سيلين ها,"قرص , شربت , تزریقی",گروه B,"در درمان عفونت های ریوی , عفونت پرده مغز (مننژیت ) , دیفتری, سفلیس","انواع پنیسیلین v , بنزاتین , پنی سیلین G و 800000 و پنی سیلین 6.3.3 در انواع عفونت ها کاربرد دارند از آنژین چرکی  تا عفونت های شکمی و ریوی و میزان مصرف متفاوتی دارند.",حساسیت شدید دارویی,"حساسیت شدید  , تهوع , استفراغ , تشنج , کوما , عوارض خونی , آبسه استریل محل تزریق , واکنش پوستی, تب",حساسیت به پنی سیلین  اغلب به نوع تزریقی بروز می کند و در نوع خوراکی اندک است. سابقه حساسیت بیمار به آن را از بیمار بپرسید . عملکرد کلیه وکبد باید کنترل شود.,بعد از تزریق به مدت 30 دقیقه تحت نظر باشید.,PENICILLINS,در دمای معمولی نگهداری شود.,---
67,-Dalacin-,آنتی بیوتیک ها,آنتی بیوتیک,کليندا مايسين,"کپسول , محلول و آمپول",گروه B,"عفونت های ریوی , پوستی  و استخوانی , درمان کمکی ایدز و عفونت های میکروبی واژن و مالاریا",در عفونت های خفیف 150 تا 300 میلی گرم هر 6 ساعت و در عفونت های شدید 300 تا 450 میلی گرم هر 6 ساعت استفاده شود.,"حساسیت شدید, نارسایی کلیه","ضایعات پوستی , خارش , تهوع , استفراغ , کاهش وزن , التهاب مری و معده , اسهال شدید , احساس طعم فلز در دهان",کلیندامایسین را هیچگاه نباید به سرعت وارد وریدی بیمار کرد(بولوس) . تست های کبدی برای بیمار می بایست انجام شود. تست های شمارش سلول خون انجام  شود. افت فشار خون جزء عوارض احتمالی است مد نظر داشته باشید .تزریق عضلانی باید به شکل عمیق صورت گیرد .,دارو ( کپسول ) را با یک لیوان کامل آب مصرف کنید.دوره درمانی خوراکی یا تزریقی را کامل کنید.بروز اسهال را به پزشک اطلاع دهید.,CLINDA MYCIN,محلول را در یخچال نگهداری کنید . کپسول را در دمای اتاق نگهداری کنید.,---
68,Akitan,آنتی گولینرژیک,ضد پارکینسون,بنزوتروپين مسيلات,قرص وآمپول ( 2 میلی گرمی),گروه C,"پارکینسون , دسیتونی ( دو بیماری سیستم عصبی که اولی با لرزش (ترمور) اندام ها و مشکل در حرکت و راه  رفتن به علت کاهش مواد ضروری در گیرنده ها CABA در مغز بروز می کند و دومی سفتی عضلات نواحی گردن و اندام هاست)",0.5 تا 6 گرم روزانه از راه خوراکی برای پارکینسون موثر است.,"حساسیت شدید , آب سیاه چشم","ضعف و خستگی , کهیر , مشکل دید , تپش قلب , یبوست و سوزش ادرار",بیمار ممکن است دچار ضعف عضلانی شود که باید میزان دارو را کاهش داد.,دارو با غذا یا بلافاصله بعد از غذا مصرف شود. شروه و قطع دارو باید تدریجی باشد. از راننگی اجتناب شود.,BENZOTROPIN MESYLATE,دور از نور و حرارات اتاق نگهداری شود.,---
69,Abitrexat,آنتی متابولیت,"ضد سرطان , ضد رماتیسم",متوترکسات,"قرص , داروی تزریقی",گروه D,"سرطان های خونی ( لوسمی ) , سرطان  استخوان ( استئوسارکوم) , لنفوم , پسوریازیس , آرتریت روماتوئید",طبق نظر پزشک متفاوت است.,"حساسیت شدید دارویی , بارداری  , شیر دهی, نارسایی کبد و کلیه , اختلالات خونی","کم خونی , زخم دهان , خونریزی گوارشی , دل درد , بی اشهایی , مشکلات کبدی",این دارومیتواند بسیار خطرناک باشد و به عنوان داروی خطر آخر استفاده شود. ممکن استفعالیت مغز استخوان کاهش یابد.,استفراغ های مکرر پس از مصرف دارو را به پزشک اطلاع دهید.کبودی های حین درمان را به پزشک اطلاع دهید.  بیمار نباید با مبتلایان به بیماری های ویروسی یا افراد واکسینه شده با ویروس زنده در تماس باشد.,METHOTREXATE,در  جای خشک و خنک نگهداری شود.,---
70,Hydrea,آنتی متابولیت,ضد نئوپلاسم,هيدروکسي اوره آ,کپسول 500 میلی گرمی,گروه D,"سرطان های بدخیم خونی CLL , ملانوم بدخیم , سرطان عود کننده تخمدان , سرطان های سر و گردن",برای تومور جامد 80 میلی گرم به ازای هر کیلوگرم,تعداد گلوبول سفید کمتر از 2500 در هر میلی متر مکعب یا پلاکت کمتر از صد هزار و کم خونی شدید و حاملگی,عوارض خونی (شامل کاهش پلاکت های خونی ),برای قضاوت از نظر اثر بخشی دارو 6 هفته وقت لازم است. برای بیمار می بایست در حین درمان مایعات کافی تجویز کرد.   قبل از درمان می بایست کم خونی بیمار جبران شود.,بیمار لازم است از تماس با بیماران ویروسی اجتناب کند.در صورت هر گونه کبودی به پزشک اطلاع دهید. در صورت استفراغ مکرر به پزشک اطلاع دهید.,HYDROXYUREA,در دمای اتاق نگهداری شود.,---
71,-----,آنتی هیستامین,"ضد احتقان , ضد سرفه",ديفن هيدرامين کامپاند,شربت,گروه C,"درمان علامتی سرماخوردگی , گرفتگی بینی , آلرژی , سرفه",1 تا2 قاشق هر 4 ساعت,در پورفیری نباید استفاده کرد.,"خواب آلودگی , تپش قلب , یبوست , خشکی دهان , سردرد , سرگیجه , بی خوابی , لرزش , تشدید حملات آسم , تشنج",این دارو اثر خلط آوری دارد. در درمان کم خوابی نیز موثر است.,بعد از مصرف آن رانندگی نکنید.,DIPHENHYDRAMIN COMPOUND,در دمای معمولی نگهداری شود.,این دارو ترکیبی از دیفن هیدرامین + آمونیوم کلراید + منتول + سیترات سدیم است.
72,Albalon,آنتی هیستامین,ضد احتقان و حساسیت,نفازولين,قطره چشمی,گروه C,"در موارد پر خونی چشم , ترشحات بینی , خارش و قرمزی چشم",یک قطره هر 8 ساعت,حساسیت شدید دارویی و افزایش فشار داخل کره چشم,"سوزش چشم , حساسیت موضعی",در موارد خفیف قرمزی و حساسیت شدید چشم استفاده می شود.,مصرف خودسرانه یا بیش از اندازه دارو مضر است.,NAPHAZOLIN-ANTAZOLINE,در دمای معمولی نگهداری شود.,این دارو به صورت قطره چشمی و قطره بینی وجود دارد.
73,Hismanal,آنتی هیستامین,ضد حساسیت های غیر خواب آور,آستميزول,قرص,طبقه بندی نشده,"حساسیت ها , کهیر ,آلرژی (رینیت)",در بالغین و کودکان بالای 12 سال خوراکی 10mg/d,"حساسیت شدید دارویی , مصرف همزمان با ضد قارچ ها مثل کتوکنازول و آنتی بیوتیکی مصل اریترومایسین","سرگیجه , سر درد , یرقان , بی قراری , افزایش اشتها , درد مفاصل","در درمان دراز مدت دارو ,آزمایش های خونی و کلیوی ضروری است.",دارو را با معده خالی مصرف  کنید. در صورت بروز کاهش فشار خون به پزشک اطلاع دهید. خشکی دهای جزء عوارض همراه است.,ASTEMIZOLE,دارو در دمای معمولی اتاق نگهداری شود.,---
74,Laditen,آنتی هیستامین,درمان آسم,کتوتيفن,قرص و شربت,گروه C,"عوارض آلرژی مفصلی , آسم , حساسیت های چشمی",یک قرص 2 بار در روز,حساسیت شدید دارویی و حملات شدید آسمی,"سردرد , خواب آلودگی , ضایعات جلدی , خشکی دهان","این دارو در ترشحات حساسیتی بینی , چشمی و آبریزش ناشی از رینیت آلرژیک کارایی دارد و در حملات حاد به کار نمیرود.",احتمال کاهش پلاکت خون وجود دارد و ممکن است یاعث ایجاد خون مردگی و عوارض جلدی یا گلو درد شود.,KETOTIFEN,در دمای 5 تا 30 درجه نگهداری شود.,---
75,Periaction,آنتی هیستامین,"ضد حساسیت , اشتها آور",سيپروهپتادين,قرص 4میلی گرمی,گروه B,افزایش اشتها و درمان آلرژی و سردرد های عروقی (میگرن),یک قرص 3 بار در روز,"حساسیت بیش از حد , کودکان زیر 2 سال","خواب آلودگی , چاقی و زردی از جمله عوارض است.","دارو بهتر است با غذا مصرف شود.گیجی جزء عوارض است , هشدار دهید.",افزایش وزن باید مرتب اندازه گیری شود. خشکی دهان را با نوشیدن مایعات و غرغره کردن آب برطرف کنید.,CYPROHEPTADINE,در دمای اتاق نگهداری شود.,---
76,Histopharmin,آنتی هیستامین ها,ضد سرما خوردگی اطفال,پدياتريک گريپ,شربت,----,"سرما خوردگی و ترشحات بینی و سینوزیت اطفال , التهاب گوش",8 تا 10 سی سی 3 تا 4 بار در روز,مورد خاصی ندارد.,این دارو ترکیبی از کلرفنیرآمین مالئات و فنیل افرین  و فنیل پروپانولامین کلراید است که خواب آلودگی جزء عوارض این گروه است.,مسئله خاصی وجود ندارد.,مورد خاصی مطرح نیست.,PEDIATRIC GRIPE,در دمای اتاق نگهداری شود.,---
77,Coricidindemilets,آنتی هیستاین,ضد حساسیت و ضد تب و سرماخوردگی,قرص سرما خوردگي اطفال,قرص جویدنی,گروه B,"این دارو ترکیب استامینوفن و آنتی هیستامین , فنیل پروپانول آمین و کلرفنیر آمین است که در درمان سرماخوردگی و آبریزش بینی و عطسه و تب به کار می رود.",1 تا 2 قرص هر چهار ساعت,حساسیت به آنتی هیستامین ها و انسداد روده,"خواب آلودگی , بی قراری , یبوست , سرگیجه , اسهال , ضعف عمومی","این دارو دارای خاصیت ضد درد , ضد تب  و ضد احتقان می باشد . وضعیت تنفسی بیمار باید تحت نظر گرفته شود.","این دارو با گیجی و خواب آلودگی همراه خواهد بود. شستشوی همزمان دهان , جلوی خشکی دهان را خواهد گرفت.",CHILDREN COLD,در دمای معمولی اتاق نگهداری شود.,---
78,Akineton,آنتی کولینرژیک,ضد پارکینسون,باي پيریدن,"قرص 2 میلی گرمی , آمپول 5 میلی گرمی",گروه C,پارکینسون و علائم اکستراپیرامیدال در مسمویت دارویی مثلا در مسمومیت با داروی ضد استفراغ تزریقی یا خوراکی متوکلو پرامید,2 میلی گرم 3 یا 4 بار در روز  یا 2 میلی گرم از طریق عضلانی,"حساسیت شدید دارویی , آب سیاه چشم , انسداد روده , بیماری میاستنی گراویس","یبوست , استعداد گرمازدگی , خشکی دهان , استفراغ , و احتباس ادرار","قرص خوراکی آن با غذا میل شود , تزریق وریدی آن آهسته صورت گیرد , در صورت خشکی دهان , استفاده از مایعات و آدامس مفید است.",در صورتی که مصرف دارو باعث احتباس ادراری شود به پزشک اطلاع دهید. در هوای گرم باعث افزایش گرمازدگی می شود.,BIPERIDEN,در جای خشک و خنک نگهداری شود.,---
79,Buscopan,آنتی کولینرژیک,ضد اسپاسم,هيوسين,"قرص , شیاف , تزریقی",گروه C,"درمان کمکی در زخم معده , اسهال , درد اسپاسمی , زخم روده  بزرگ , در بیماری حرکت , ضد استفراغ , بی اختیاری ادراری و درد قاعدگی",2 قرص 4 بار در روز در درد های ماهانه زنان از 2 روز قبل از قاعدگی شروع و 3 روز بعد از آن ادامه یابد.,حساسیت شدید دارویی,خشکی دهان,این دارو به کاهش درد شکمی و علامتی بیماران به ویژه اسهال کمک می کند.,مصرف خودسرانه دارو می تواند خطرناک باشد. در درد های شکمی مداوم بدون  مجوز پزشک مصرف نشود.  در اسهال خونی و عفونی نباید استفاده شود.,HYOSCINE,در دمای اتاق نگهداری شود.,---
80,Cogentin,آنتی کولینرژیک,ضد پارکینسون,بنزتروپين,آمپول و قرص,گروه C,علائم مغذی بیماری پارکینسون و اکستراپیرامیدال,1 تا 2  میلی گرم روزانه خوراکی یا تزریقی,"انسداد روده , زخم گوارشی  ,  بیماری میاستنی گراویس و تنگی پیشابراه","یبوست , حساسی به گرمازدگی , و کاهش فشار خون و علائم گیجی جزئ مهمترین عوارض اند.",ضعف عضلانی جزء عوارض است. افسردگی و تهوع را به بیمار یاد آور شوید.,سالمندان به میزان بالاتر آن حساس هستند. از قطع ناگهانی دارو بپرهیزید.,BENZTROPIN MESYLATE,در جای خسک و در دمای زیر 25 درجه نگهداری شود.,---
81,Cyclogyl,آنتی کولینرژیک (آمین ها),گشاد کننده مردمک,سيکلو پنتولات (چشمي),قطره 1% چشمی,گروه C,برای آماده سازی چشم برای معاینه چشم پزشکی,یک قطره قبل از معاینه و در صورت لزوم تکرار شود.,آب سیاه چشم با زاویه بسته و حساسیت مفرط,"سردرد , اختلال شدید , اختلال خواب , تاری دید , اشک ریزش , اختلال در تکلم",این دارو جذب عمومی (سیستمیک) دارد.دارو میتواند عامل اختلال خلق یا رفتار شود.,در صورت برروز علائم جدی و عمومی به پزشک اطلاع داده شود.,CYCLOPENTOLATE,در جای خشک و خنک نگهداری شود.,---
82,Dizymes,آنزیم,هضم کننده ها,پانکراتين,قرص,گروه C,"کمبود آنزیم پانکراتین , سرطان لوزوالمعده , درمان بعد از جراحی برداشت روده",1 تا 2 قرص همراه غذا,حساسیت شدید دارویی,"سردرد ,تهوع , استفراغ",کاهش حرکات گوارشی و سفت شدن مدفوع جزء علائم جواب به درمان است.,دارو قبل از غذا مصرف شود.از جویدن قرص پرهیز کنید.,PANCRATIN,در دمای اتاق نگهداری شود.,---
83,Elspar,آنزیم,ضد سرطان ( نئوپلاسم),آسپاراژيناز,تزریقی,گروه C,در یک نوع سرطان خون ( لوسمی منفوسیتی حاد),200 واحد به ازای هر کیلو گرم از راه وریدی به مدت 4 هفته,بیماران مبتلا به پانکرایت و دچار حساسیت شدید,"سر درد , تشنج , اختلال هوشیاری, مشکل کلیه ها , کبد و خون","آزمایش های خونی , کلیه وکبد ضروری است . در حین تجویز دارو علائم حیاتی بیمار را کنترل کنید.","در صورت بروز درد شکم , تهوع و استفراغ یا زردی یا تب و خونریزی و ادرار با حجم بالا و زخم دهان به پزشک مراجعه شود. بیمار باید از تماس با بیماران عفونی بپرهیزد و در محل شلوغ رفت و آمد نکند.",ASPARAGINASE,ویال دارو در دمای پایینتر از 8 درجه نگهداری شود.,این دارو یک آنزیم (ال - آسپارژین آمیدو هیدرولاز) ا
84,Plasmin,آنزیم ها,تمیز کننده موضعی زخم ها,فيبرينوليزين (موضعي),پماد موضعی,گروه C,در سوختگی و درمان زخم ها,روزی 2 تا 3 بار روی موضع مالیده شود.,حساسیت شدید دارویی,مشکلات موضعی و التهاب یا واکنش بافتی,این پماد باعث تمیز شدن زخم و پاکسازی بافت های مرده زخم ها و سوختگی ها می شود.,مورد خاصی وجود ندارد.,FIBRINOLYSIN,در محل خشک و خنک نگهداری شود.,---
85,Onoton,آنزیم های گوارشی,"پانکراتین , سایمیتیکون , لیپاز",دايجستيو,قرص,گروه C,"بیماری های گوارشی ناشی از کیسه صفرا , پانکراس, عمل جراحی معده , درمان اسهال ناشی از جراحی (برداشتن معده)و درمان نفخ",1 تا 2 قرص همراه با هر وعده غذا,در حساسیت شدید  دارویی یا علائم بروز پانکراتیت حاد منع مصرف دارد.,"تهوع , اسهال  و درد شکمی از حمله عوارض است.",این دارو با آنتی اسید ها  تداخل دارد.این دارو آثار ضد نفخ دارد.,ارجح است بیمار پس از مصرف دارو مقداری غذا بخورد.   قرص نباید جویده شود.,DIGESTIVE,در دمای معمولی نگهداری شود.,---
86,Benadryl,اتانول آمین,"آرام بخش , ضد حساسیت",ديفن هيدرامين,"شربت ,قرص , تزریقی",گروه B,"علائم آلرژی , کهیر , پرخونی چشم , بیماری های خارش دارپوستی , حساسیت شدید , درمان پارکینسون و دیستونی حاد",25 تا 50 میلی گرم هر 6 ساعت,در پورفیری نباید استفاده کرد.,"خواب آلودگی , تپش قلب , یبوست , خشکی دهان , سردرد , سرگیجه , بی خوابی , لرزش , تشدید حملات آسم , تشنج","مصرف این دارو به همراه غذا مفید تر است. اثر ضد تهوع آن نیز مطلوب است به ویژه در مسافرت. در صورت وجود فشار خون, علائم چاقی پس از مصرف اندازه گیری شوند.",پس از مصرف از رانندگی اجتناب شود.,DIPHENHYDRAMIN,در دمای معمولی نگهداری شود.,---
87,Dramamine,اتانول آمین,ضد حساسیت,ديمن هيدرينات,قرص 50 میلی گرمی,گروه C,"تهوع , استفراع , اختلالات تعادل به واسطه مشکل گوش داخلی",یک تا 2 قرص 2 تا 3 بار در روز --- برای پیشگیری از تهوع درمسافرت باید نیم ساعت قبل از شروع حرکت ( مسافرت ) مصرف شود.,در BP.H ( بزرگی پروستات مردان) و آب سیاه زاویه بسته (چشم),"خواب آلودگی , ضعف عمومی , سردرد , خشکی دهان , تشنج , فشار خون بالا",برای جلوگیری از خشکی دهان مایعات بیشتری تجویز شود.دیگر داروهای خواب آور  و الکل باعث تشدید علائم می شود.,بهتر است دارو با مقداری غذا مصرف شود. رانندگی و کار ظریف نباید انجام داد.,DIMENHYDRINATE,در دمای 15 تا 20 درجه نگهداری شود.,---
88,Tavegil,اتانول آمین,آرام بخش,کلماستين,قرص و آمپول,گروه B,"حساسیت ها (کهیر , آنژیوادم , ریزش آب از بینی حساسیتی), التهاب ملتحمه چشم , بیماری پوستی خارش دار",حداقل یک قرص 2 بار در روز یا 2 تا 4 گرم از راه تزریق عضلانی یا وریدی,حساسیت شدید و نوزادان,"خواب آلودگی , لرز , گیجی","دارو را بهتر است با آب , غذا یا شیر مصرف کنند.احتمال کاهش فشار خون وجود دارد.",در صورت خواب آلودگی رانندگی ممنوع است.,CLEMASTINE,در دمای معمولی اتاق و دور از نور  نگهداری شود.,---
89,------,اتر,بیهوش کننده ها,اتر,گاز استنشاقی,گروه C,در بیهوشی به عنوان داروی کمکی استفاده می شود.,بسته به وضعیت بیمار,حساسیت شدید دارویی,"به علت عوارض شدید مثل استفراغ و تشنج , بالا رفتن قند خون و تحریک مجاری تنفسی امروزه کمتر استفاده می شود.",امروزه گاز های هالوژن جایگزین اتر شده اند.,بیمار می بایست اطلاعات دارویی و پزشکی خود را برای ثبت به تاریخچه پزشکی ارئه نماید.  این دارو باعث کاهش فشار خون و کاهش حجم ادرار می شود.,ETHER,در جای خشک و در دمای 2 تا 8 درجه نگهداری شود.,---
90,Hydergine,ارگوت آلکالوئید,درمان دمانس پیری,دي هيدروارگوتوکسين,قرص 1.5 میلی گرمی,مطالعه نشده است.,در درمان دمانس یا زوال عقلی در سالمندان,1 میلی گرم سه بار در روز و به تدریج به 6 میلی گرم در روز تا شش ماه,اختلالات روانی(سایکوز حاد),"تهوع , استفراغ , زخم های دهانی",برای ظهور علائم بهبود حداقل یک ماه وقت لازم است.,اختلالات گوارشی ممکن است بروز کند.,DIHYDRO ERGOTOXIN,در دمای معمولی نگهداری شود.,---
91,Seromycin,از گروه د - آلانین,ضد سل,سيکلوسرين,قرص یا کپسول 250 میلی گرمی,گروه C,درمان سل ریوی یا خارج از ریه,یک قرص هر 12 ساعت طی 2 هفته و سپس یک قرص هر 8 ساعت,"حساسیت شدید , نارسایی کلیه","ضایعات پوستی , ضعف , سردرد , بیقراری , تحریک پذیری","به همراه دارو , ویتامین B6 هم تجویز شود.", تاری دید و زردی نیز می تواند بروز کند. دوره درمان را کامل کنید.  دارو را بعد از غذا مصرف شود.,CYCLOSERINE,در دمای اتاق نگهداری شود.,---
92,Darabolin,استروئید,آنابولیک,ناندرولون,تزریقی,گروه D,"در درمان کم خونی ناشی از بیماری های کلیوی , درمان سرطان پستان ( به صورت کمکی) و با توجه به خاصیت تستسترونی در ورزشکاران به ویژه رشته بدنسازی برای افزایش حجم عضلات",50 تا 100 میلی گرم 1 تا 3 هفته در خانم ها و 50 تا 200 میلی گرم 1 تا 4 هفته در آقایان تزریق می شود.,در حساسیت شدید دارویی و مردان دچار سرطان پستان و پروستات و ضایعه التهابی کلیه ( نفریت) و زنان دچار سرطان سینه و دچار افزایش سطح کلسیم سرم,"پر مویی در صورت  کوچک شدن اندازه سینه ها , آکنه , پر مویی بدن , تهوع , استفراغ , افزایش اشتها , طاسی سر , مشکلات قاعدگی , نکروز کبدی , تغییر خلق و خو , افسردگی",در سنین قبل از بلوغ ممنوع است.سطح کلسیم سرم باید کنترل شود.تست های کبدی انجام شود.,به بیمار توصیه کنید آهن کافی مصرف کند. در صورت تهوع یا استفراغ شدید به پزشک اطلاع دهید.,NANDROLONE,در دمای معمولی نگهداری شود.,---
93,----------,استروئید - ضد باکتری,آنتی بیوتیک,اسيد فوسيديک,کرم موضعی,گروه C,در درمان عفونت ها و التهاب های پوستی,روزانه 2 تا 4 بار در روز,زیر جلدی و در ناحیه ای که پوست نداردو عضلات در معرض  است ممنوع است.,در تجویز خوراکی تهوع و استفراغ بروز میکند. تجویز وریدی این ترکیب در محل تزریق  اسپاسم وریدی دیده می شود.,در نوع خوراکی ضایعات کبدی بروز میکند.,مورد خاصی وجود ندارد.,FUSIDIC ACID,در دمای 2 تا 8 درجه نگهداری شود.,---
94,Anadrol,استروئید آنابولیک,ضد کم خونی,اکسي متولون,قرص,گروهD,"در درمان کم خونی , تقویت عضلات و افزایش آنابولیسم در ورزشکاران حرفه ای بدنسازی از آن سوء استفاده می شود.",1 تا 5 میلی گرم به ازای هر کیلوگرم از وزن بدن,حساسیت شدید دارویی,"پر مویی در صورت  کوچک شدن اندازه سینه ها , آکنه , پر مویی بدن , تهوع , استفراغ , افزایش اشتها , طاسی سر , مشکلات قاعدگی , نکروز کبدی , تغییر خلق و خو , افسردگی",در سنین قبل از بلوغ ممنوع است.سطح کلسیم سرم باید کنترل شود.تست های کبدی انجام شود.,به بیمار توصیه کنید آهن کافی مصرف کند. در صورت تهوع یا استفراغ شدید به پزشک اطلاع دهید.,OXYMETHOLON,در دمای اتاق نگهداری شود.,---
95,Premarin,استروژن,هورمون ها - جانشین استروژن,استروژن کنژوگه,"تزریقی , قرص",گروه X,"درمان علائم گرگرفتگی و یائسگی , درمان استئوپورز, ضد نئوپلاسم , شکایت های مجرای ادراری و تناسلی در زنان یائسه, کمبود استروژن",2.5 تا 7.5 میلی گرم در روز در کمبود استروژن و در ضایعات ناشی از یائسگی 0.3 تا 1.25 میلی گرم به صورت خوراکی,حساسیت شدید به دارو .,"تهوع , سر درد , اضطراب , ریزش مو , کرامپ شکمی , اسهال , خارش , علائم آنفولانزا, هیپرکلسیمی, احتمال بروز سرطان رحم و سرطان سینه و ضایعات کبدی",کنترل فشار خون  و چربی خون باید  به طور معمول و منظم انجام شود.در صورت تزریق وریدی به آهستگی آن را انجام دهید.تزریق عضلانی توسط پرستار باید به صورت عمیق صورت گیرد.,"بیمار باید مکرر معاینه شود.(پستان و رحم) نوع کرم واژینال را طبق دستور استفاده کنید.احتمال اختلالات بینایی وجود دارد, به پزشک اطلاع دهید.",CONJUGATED ESTROGEN,در دمای 15 تا  30 درجه نگهداری شود.,---
96,Vitacarn,اسید آمینه,مکمل غذایی,کارنيتين,قرص و شربت,گروه B,کمبود کارنیتین در برنامه های بدنسازی (تقویت عضلانی ) جلوگیری از کرامپ عضلانی در همودیالیز,برای فرد 50 کیلویی 1 تا 3 گرم همراه غذا,مورد خاصی وجود ندارد,"تهوع , اسهال و  تغییر بوی بدن",پزشک معالج می بایست سطح کارنیتین را قبل از درمان اندازه بگیرد.,بیمار بهتر است دارو را با فاصله هر 3 تا 4 ساعت مصرف کند.,CARNITINE,به شرایط خاص کارخانه سازنده توجه شود.,---
97,Indocid,اسید استیک ( ضد درد غیر استروئیدی),"ضد درد , ضد التهاب",ايندومتاسين,"قرص , کپسول , شیاف",گروه B,"در درمان دردهای خفیف تا متوسط , تب , ضد التهاب  در بیماری های التهابی و رماتیسمی , در آرتروز , تورم مفاصل",50 تا 150 میلی گرم روزانه که در چند وعده تجویز می شود.,"خونریزی حاد گوارشی , آسم و حساسیت شدید دارویی","سردرد , سر گیجه , سبکی سر , خونریزی معده , عوارض کلیوی , زردی , مشکلات خونی",بیماران ممکن است دچار زردی شوند و ادرار آنها شبز شود که می بایست دارو را قطع کرد و تست های کبدی انجام داد.,آزمایش های کنترل عملکرد کبدی و کلیوی انجام شود. دارو باشیر یا شربت آلومینیوم میل شود. قرص نباید جویده شود. این دارو در زمان درد های قاعدگی استفاده شود.,INDOMETHACIN,در دمای اتاق نگهداری شود.,---
98,Panthoderm,اسید پانتوتنیک,ضد التهاب پوستی,دکس پانتنول,کرم موضی,بررسی نشده است.,"التهاب موضعی پوستی , اگزما , خارش و حساسیت و تحریک پوستی",به صورت 1 تا 2 بار در روز استفاده شود.,در هموفیلی و انسداد روده ممنوع است.,مشکل خاصی گزارش نشده است.,مسئله خاصی وجود ندارد.,در گزش حشرات و ضایعات التهابی پوستی کاربرد دارد. در زخم یا ضایعات عفونی مفید نیست.,DEXPANTHENOL,در دمای معمولی اتاق نگهداری شود.,---
99,Pentenil,اسید پانتوتنیک,ویتامین ها (B5),کلسيم پانتوتنات,قرص 100 میلی گرمی,گروه C,کمبود ویتامین( B5) و پیشگیری از کمبود آن,روزانه 5 تا 10 میلی گرم از راه خوراکی,موردی گزارش نشده است.,عوارض خاصی وجود ندارد.,"این دارو جایگزین کلسیم نیست , زیرا کلسیم بالایی ندارد.",دارو را 2 تا 3 ساعت بعد از غذا مصرف کنید.,CALCIUM PANTHOTENATE,در دمای اتاق نگهداری شود.,---
